"","Country","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","Latest Year","CO2.emissions..latest.year","X..change.since.1990","CO2.emissions..per.capita...latest.year"
"170","Timor-Leste",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260.84,NA,NA,NA,NA,NA,NA,NA,NA,2010,260.84,NA,0.24
"171","Togo",NA,NA,825.5,546.9,1033.6,1277.94,1022.8,1088.4,1404.8,NA,1461.9,NA,NA,NA,NA,1899.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2005,1899.72,NA,0.34
"172","Tonga",NA,NA,NA,NA,79.98,NA,NA,NA,NA,NA,94.93,NA,NA,NA,NA,NA,113.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,113.14,NA,1.11
"173","Trinidad and Tobago",14987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1990,14987,0,12.27
"174","Tunisia",NA,NA,NA,NA,17096.5,NA,NA,NA,NA,NA,22665.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,22665.18,NA,2.33
"175","Turkey",151508.47,157982,163922.25,171011.16,167433.11,180903.05,199521.94,212005.57,212040.28,207804.16,229790.6,213486.09,220977.7,236483.89,244464.11,264200.8,281649.18,312736.71,309321.19,315359.64,314380.03,339482.25,353666.21,345220.58,361675.46,381331.94,401239.74,425329.23,419194.75,2018,419194.75,176.68,5.09
"176","Turkmenistan",NA,NA,NA,NA,15197.68,NA,NA,NA,NA,NA,24683.2,NA,NA,NA,25526.06,NA,NA,NA,NA,NA,37325.17,NA,NA,NA,NA,NA,NA,NA,NA,2010,37325.17,NA,7.34
"177","Tuvalu",NA,NA,NA,NA,4.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.16,NA,NA,NA,NA,2014,11.16,NA,1.02
"178","Uganda",NA,NA,NA,NA,730.25,NA,NA,NA,NA,NA,1371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,1371,NA,0.06
"179","Ukraine",705829.99,632536.63,589060.25,510199.54,419266.3,389864.61,351408.75,340242.69,328578.94,298203.96,285337.2,303559.23,295673.49,307017.47,310362.75,313118.09,332670.34,336364.01,325532.71,277293.5,294078.32,307952.84,303952.61,297294.25,257584.69,223911.87,234200.3,223232.15,231694.16,2018,231694.16,-67.17,5.24
"180","United Arab Emirates",NA,NA,NA,NA,63690,NA,NA,NA,NA,NA,102707,NA,NA,NA,NA,158438,NA,NA,NA,NA,NA,NA,NA,NA,188884.9,NA,NA,NA,NA,2014,188884.9,NA,20.5
"181","UK",601187.19,609266,593745.97,579506.69,575774.6,567507.65,589137.82,563241.84,568512.2,561651.09,568220.06,576926.99,561047.85,572532.25,573994.49,570724.27,568390.05,560205.6,545682.47,495119.49,512864.79,470608.13,488503.55,478608.95,439763.28,423199.62,399824.3,388803.41,380849.88,2018,380849.88,-36.65,5.67
"182","Tanzania",3249.37,NA,NA,NA,3225.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994,3225.53,-0.73,0.11
"183","USA",5128300.62,5078889.58,5182706.72,5283437.6,5377032.71,5438905.7,5626911.9,5703706.97,5751051.98,5830297.64,5998070.43,5900436.6,5942652.33,5991959.63,6107618.25,6131892.98,6051051.02,6128429.64,5930539.64,5491035.73,5698055.78,5565294.4,5367568.56,5514029.29,5561719.22,5412432.19,5292267.56,5253606.13,5424881.5,2018,5424881.5,5.78,16.58
"184","Uruguay",3897.33,NA,NA,NA,4267.9,NA,NA,NA,5910.87,NA,5576.6,NA,4355.27,NA,5589.1,NA,6442.84,NA,7917.43,NA,6548.9,NA,8806,NA,6824.5,NA,6863.1,6530,NA,2017,6530,67.55,1.9
"185","Uzbekistan",113286.32,113301.74,106305.61,106809,101370.9,101021.05,104012.36,102265.9,99999.06,104052.94,108606.83,107876.5,111020.33,106841.01,104822.79,100863.85,103617.94,103446.05,113156.4,107567.39,101762.96,105089.37,105529.24,NA,NA,NA,NA,NA,NA,2012,105529.24,-6.85,3.58
"186","Vanuatu",NA,NA,NA,NA,55.15,NA,NA,NA,NA,NA,69.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,69.59,NA,0.38
"187","Venezuela",NA,NA,NA,NA,NA,NA,NA,NA,NA,114126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1999,114126,NA,4.81
"188","Vietnam",NA,NA,NA,NA,25382.82,NA,NA,NA,NA,NA,55905.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,146036.77,NA,NA,156969.31,NA,NA,NA,NA,NA,2013,156969.31,NA,1.73
"189","Yemen",NA,NA,NA,NA,NA,10514.96,NA,NA,NA,NA,17548,NA,NA,NA,NA,NA,NA,NA,NA,NA,22341,NA,23311.94,NA,NA,NA,NA,NA,NA,2012,23311.94,NA,0.95
"190","Zambia",NA,NA,NA,NA,2595.35,NA,NA,NA,NA,NA,1685.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,1685.89,NA,0.16
"191","Zimbabwe",NA,NA,NA,NA,17088.48,NA,NA,NA,NA,NA,24869.08,NA,NA,NA,NA,NA,10995.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2006,10995.15,NA,0.9
"192","Greenland",54845.67,65428.35,59595.59,61682.6,65699.57,62655.77,75987.01,66603.08,62395.89,59842.62,55609.69,57322.68,56895.54,62055.93,56499.81,52932,60858.69,56102.04,52640.37,50184.69,50678.31,45652.28,41218.24,43079.33,38866.73,36493.99,38301.02,36213.25,36246.2,2018,36246.2,-33.91,6.3
